username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
iMikamiTeru;08/11/2018 01:18;0;0;Itu pacar apa orang putus asa. Ko nge gantung in kamu mulu ? Udah putusin aja daripada makan hati # Quotesesat;;;#;1,06024E+18;https://twitter.com/iMikamiTeru/status/1060235022475481088;
hlmhanuar;08/11/2018 01:06;0;0;Buat kawan-kawan sy, Yang sudah mendapatkan pekerjaan, alhamdulillah tahniah, rezeki korang giler! Jumpa nnt, lanje aku okay Yang masih mencari, jangan putus asa! Man jadda wajada haaaaa heheh usaha sampai dapat okay!;;;;1,06023E+18;https://twitter.com/hlmhanuar/status/1060232160748068864;
rjsmom47;08/11/2018 00:41;0;0;Adalah pisah, tlg kuatkan ibumu. Beliau pasti sakit hatinya dikhianti sama ayah dari anak-anaknya. Tetap semangat nder . Jangan putus asa. Jangan membenani dirimu oke? Keluarkan isi hatimu ke keluargamu;;;;1,06023E+18;https://twitter.com/rjsmom47/status/1060225697195552768;
auliadam;08/11/2018 00:37;12;14;Lara juga sangat berani. Ia terus memperjuangkan suaranya agar didengar, meski ditekan berbagai pihak. Berulang kali ia hampir putus asa, tapi semangatnya lebih besar. Lara bahkan sempat meminta saya menyebut nama aslinya di laporan tersebut, karena:;;;;1,06022E+18;https://twitter.com/auliadam/status/1060224837161902080;
Risky_muQairi;08/11/2018 00:26;0;0;Putus asa akan membuka peluang orang lain mengambil kesuksesan Anda.;;;;1,06022E+18;https://twitter.com/Risky_muQairi/status/1060221894710808576;
windiwulaaan;08/11/2018 00:25;0;1;ketika kamu putus asa, bersabarlah, kebahagiaan telah menunggumu.;;;;1,06022E+18;https://twitter.com/windiwulaaan/status/1060221680499355648;
Ashacintialest1;08/11/2018 00:22;0;0;nyaris putus asa, sedikit lagi... nangis dipojokan :”(((((((((;;;;1,06022E+18;https://twitter.com/Ashacintialest1/status/1060221048082386946;
Risky_muQairi;08/11/2018 00:21;0;0;Jika anda putus asa, jangan memaksa untuk terus bergerak. tapi paksalah hati dan pikiran anda untuk menemukan tujuan baru.;;;;1,06022E+18;https://twitter.com/Risky_muQairi/status/1060220636532895745;
ftmh_zahrah;08/11/2018 00:19;186;95;Angkat topi untuk Agni di Jogja, Lara di Bali, dan perempuan-perempuan lain yang memutuskan tidak diam meski harus melawan kebingungan, rasa takut yang merusak, keinginan-keinginan untuk bunuh diri dan rasa putus asa lainnya. Kalian hebat.;;;;1,06022E+18;https://twitter.com/ftmh_zahrah/status/1060220279060758528;
Risky_muQairi;08/11/2018 00:16;0;0;Pantang menyerah adalah sifat alami, dan dilatih saat menghadapi situasi sulit. Putus asa adalah kegagalan dalam melatih sifat tadi.;;;;1,06022E+18;https://twitter.com/Risky_muQairi/status/1060219381832069122;
Nurulalif29;08/11/2018 00:15;0;1;hampir nak putus asa kot hm pls kalini menjadi;;;;1,06022E+18;https://twitter.com/Nurulalif29/status/1060219271098204161;
yudiidris;08/11/2018 00:10;0;0;Tegas akan diri sendiri, buang pikiran negatif dan lakukan yang baik. Kegelisahan hanya milik mereka yang putus asa.;;;;1,06022E+18;https://twitter.com/yudiidris/status/1060218054666141697;
MotivatorST;08/11/2018 00:09;0;0;•Saat Teduh• 8-11-2018 Empat hal manfaat jk percaya pd Allah, 1. Hidup lebih bermakna 2. Kedamaian Batin 3. Selalu punya Harapan (tdk putus asa) 4. Selalu berusaha mengatasi masalah selama masih hidup & percaya Allah akan membantu.;;;;1,06022E+18;https://twitter.com/MotivatorST/status/1060217675228446720;
mhdfitrisalim;08/11/2018 00:06;2;0;kenapa selalu rasa nak putus asa eh ?;;;;1,06022E+18;https://twitter.com/mhdfitrisalim/status/1060216872258293760;
Risky_muQairi;08/11/2018 00:06;0;0;Rasa putus asa bukan musibah, tapi merupakan pilihan.;;;;1,06022E+18;https://twitter.com/Risky_muQairi/status/1060216863387398144;
